lcbo_name,size-mL,container,price,critic,critic_score,unit_price,lcbo_region,lcbo_country,vintage,viv_name,viv_region,viv_country,score,num_reviews,fwscore1,fwscore2,fwscore3,fwscore4
Château Lafite-Rothschild,1500,bottle,9990.0,RP,98.0,6.66,Bordeaux,France,1986,Château Lafite Rothschild Count De Lafite Bordeaux,Bordeaux,France,4.6,14,64,96,66,100
Masseto,6000,bottle,9950.0,none,0.0,1.6583333333333334,Tuscany,Italy,,Masseto Toscana,Toscana,Italy,4.7,12022,64,100,64,100
Château Mouton Rothschild,3000,bottle,6690.0,RP,98.0,2.23,Bordeaux,France,2005,Château Mouton Rothschild Aile d'Argent Blanc Bordeaux,Bordeaux,France,4.2,3382,63,100,62,100
Château Margaux,1500,bottle,6400.0,WS,98.0,4.266666666666667,Bordeaux,France,1983,G.G. Ochsner Chateau Margaux Bordeaux,Médoc,France,0.0,0,54,93,56,67
Domaine Leroy Clos de la Roche Grand Cru,750,bottle,5970.0,RP,93.0,7.96,Burgundy,France,2013,Leroy Clos de la Roche Grand Cru,Clos de la Roche Grand Cru,France,4.7,205,89,100,89,100
Único,3000,bottle,5840.0,VIN,97.0,1.9466666666666668,Ribera del Duero,Spain,2005,Vega Sicilia Unico,Ribera del Duero,Spain,4.7,33882,35,80,36,36
Château Lafite-Rothschild,750,bottle,5500.0,RP,98.0,7.333333333333333,Bordeaux,France,1986,Château Lafite Rothschild Count De Lafite Bordeaux,Bordeaux,France,4.6,14,64,96,66,100
Château Margaux,3000,bottle,5085.0,WE,97.0,1.695,Bordeaux,France,2001,Les Grands Chais de France Château Londre Bordeaux,Bordeaux,France,2.6,19,37,60,32,60
Solaia,6000,bottle,4250.0,RP,95.0,0.7083333333333334,Tuscany,Italy,2014,Antinori Tenuta Tignanello 'Solaia',Toscana,Italy,4.6,24843,29,100,31,100
Dal Forno Romano Monte Lodoletta Amarone della Valpolicella,5000,bottle,4105.0,RP,99.0,0.821,Veneto,Italy,2009,Dal Forno Romano Amarone della Valpolicella Monte Lodoletta,Amarone della Valpolicella,Italy,4.7,5848,73,73,100,100
