name,region,size-mL,container,price,critic,critic_score
Château Lafite-Rothschild 1986,"Bordeaux, France",1500,bottle,9990.0,RP,98
Masseto,"Tuscany, Italy",6000,bottle,9950.0,none,0
Château Mouton Rothschild 2005,"Bordeaux, France",3000,bottle,6690.0,RP,98
Château Margaux 1983,"Bordeaux, France",1500,bottle,6400.0,WS,98
Domaine Leroy Clos de la Roche Grand Cru 2013,"Burgundy, France",750,bottle,5970.0,RP,93
Único 2005,"Ribera del Duero, Spain",3000,bottle,5840.0,VIN,97
Château Lafite-Rothschild 1986,"Bordeaux, France",750,bottle,5500.0,RP,98
Château Margaux 2001,"Bordeaux, France",3000,bottle,5085.0,WE,97
Solaia 2014,"Tuscany, Italy",6000,bottle,4250.0,RP,95
Dal Forno Romano Monte Lodoletta Amarone della Valpolicella 2009,"Veneto, Italy",5000,bottle,4105.0,RP,99
Dal Forno Romano Monte Lodoletta Amarone della Valpolicella 2010,"Veneto, Italy",5000,bottle,4104.0,JS,97
Solaia,"Tuscany, Italy",3000,bottle,3839.0,none,0
Maison Leroy Corton-Renardes 2002,"Burgundy, France",750,bottle,3640.0,BH,94
Valbuena 5°,"Ribera del Duero, Spain",6000,bottle,3636.0,none,0
House of Mandela Centennial 2017,South Africa,750,bottle,3245.0,none,0
Solaia 2008,"Tuscany, Italy",3000,bottle,2996.0,JS,96
Solaia,"Tuscany, Italy",3000,bottle,2899.0,none,0
Solaia 2003,"Tuscany, Italy",3000,bottle,2715.0,JS,96
Antinori Guado al Tasso 2003,"Tuscany, Italy",6000,bottle,2524.0,WE,92
Dal Forno Romano Monte Lodoletta Amarone della Valpolicella 2010,"Veneto, Italy",3000,bottle,2468.0,JS,97
Château Margaux 1989,"Bordeaux, France",750,bottle,2400.0,WS,97
Château Lafite-Rothschild 2001,"Bordeaux, France",750,bottle,2400.0,WS,96
Penfolds Grange Shiraz 2014,"South Australia, Australia",1500,bottle,2400.0,RP,98
Château Haut-Brion 2016,"Bordeaux, France",1500,bottle,2359.85,RP,97
Tignanello 1997,"Tuscany, Italy",3000,bottle,2346.0,WS,96
Château Haut-Brion 2005,"Bordeaux, France",750,bottle,2345.0,RP,100
Domaine Leroy Vosne Romanee Les Beaux Monts 1er Cru 2011,"Burgundy, France",750,bottle,2250.0,RP,96
Château Canon 2015,"Bordeaux, France",3000,bottle,2250.0,RP,98
Château Latour 1990,"Bordeaux, France",750,bottle,2245.0,VIN,98
Château Latour 2000,"Bordeaux, France",750,bottle,2239.0,RP,98
Château Pichon-Longueville Baron 2012,"Bordeaux, France",6000,bottle,2200.0,JS,94
Château Haut-Brion 2000,"Bordeaux, France",750,bottle,2195.0,RP,99
Col d'Orcia Poggio al Vento Riserva Brunello di Montalcino (Magnum) 1990,"Tuscany, Italy",1500,bottle,2100.0,VIN,97
Château Latour 2005,"Bordeaux, France",750,bottle,2035.0,RP,98
Château de Beaucastel Hommage à Jacques Perrin Châteauneuf-du-Pape 2000,"Rhône, France",1500,bottle,2000.0,RP,98
Único Reserva Especial,"Ribera del Duero, Spain",1500,bottle,2000.0,none,0
Alión,"Ribera del Duero, Spain",6000,bottle,2000.0,none,0
Masseto 2017,"Tuscany, Italy",1500,bottle,1945.0,RP,97
Luce Lux Vitis 2017,"Tuscany, Italy",6000,bottle,1847.0,JS,97
Maison Leroy Gevrey-Chambertin 2005,"Burgundy, France",750,bottle,1770.0,none,0
Domaine Ponsot Cuvée Vieilles Vignes Clos de la Roche Grand Cru 2017,"Burgundy, France",1500,bottle,1770.0,RP,96
