name,region,country,num_reviews,rating,acidity,fizziness,intensity,sweetness,tannin,varietal,body
Hundred Acre Kayli Morgan Vineyard Cabernet Sauvignon 2014,Napa Valley,United States,154,4.9,3.342901,None,4.795382,1.7343491,3.3750257,Cabernet Sauvignon,Very full-bodied
Hundred Acre Kayli Morgan Vineyard Cabernet Sauvignon 2015,Napa Valley,United States,93,4.9,3.342901,None,4.795382,1.7343491,3.3750257,Cabernet Sauvignon,Very full-bodied
Frank Family Patriarch 2012,Rutherford,United States,83,4.9,3.3242133,None,4.867668,1.3652781,3.291373,Cabernet Sauvignon,Very full-bodied
Alves de Sousa Abandonado 2017,Douro,Portugal,82,4.9,3.1363275,None,4.6009846,1.7887058,3.6249406,Douro Red,Very full-bodied
Hundred Acre Few and Far Between Cabernet Sauvignon 2013,Napa Valley,United States,62,4.9,3.3757792,None,4.6979566,1.8268845,3.3687925,Cabernet Sauvignon,Very full-bodied
Amici Echion Cabernet Sauvignon 2014,Oakville,United States,61,4.9,2.8281817,None,4.8525486,1.5168993,3.273409,Cabernet Sauvignon,Very full-bodied
Sine Qua Non Rattrapante Grenache 2012,Sta. Rita Hills,United States,59,4.9,,,,,,,
Teso La Monja Tinto 2013,Toro,Spain,50,4.9,2.8000705,None,3.9936266,1.7270775,3.3776057,Toro Red,Very full-bodied
Realm Beckstoffer Dr. Crane Vineyard 2015,St. Helena,United States,50,4.9,3.819808,None,4.8870683,1.4476439,3.3437698,Bordeaux Blend,Full-bodied
Henri Jayer Vosne-Romanée Cros Parantoux 1996,Vosne-Romanée 1er Cru 'Au Cros Parantoux',France,48,4.9,4.32337,None,3.0801764,1.5544274,2.675749,Côte de Nuits Red,Medium-bodied
Domaine de La Romanée-Conti Romanée-Conti Grand Cru 1965,Romanée-Conti Grand Cru,France,45,4.9,4.1912975,None,2.9860625,1.9386529,2.529404,Côte de Nuits Red,Medium-bodied
Promise Cabernet Sauvignon 2010,Rutherford,United States,33,4.9,3.3514564,None,4.912039,1.689466,3.868932,Cabernet Sauvignon,Very full-bodied
Pine Ridge Fortis 2013,Napa Valley,United States,43,4.9,3.7491796,None,4.8184357,1.5011283,2.966359,Red Blend,Full-bodied
Bryant Family Vineyard Cabernet Sauvignon Proprietor Grown 2002,Napa Valley,United States,41,4.9,3.3479903,None,4.6497655,1.8474392,3.386074,Cabernet Sauvignon,Very full-bodied
Tedeschi La Fabriseria Amarone della Valpolicella Classico 2003,Amarone della Valpolicella Classico,Italy,41,4.9,2.37603,None,4.969785,3.198219,2.438219,Amarone,Very full-bodied
Realm The Absurd 2014,Napa Valley,United States,40,4.9,3.725425,None,4.619919,2.3338056,3.826964,Red Blend,Full-bodied
Domaine du Comte Liger-Belair La Romanee Grand Cru Monopole 2009,La Romanée Grand Cru,France,39,4.9,4.284037,None,2.8630502,1.7299623,2.4784498,Côte de Nuits Red,Medium-bodied
Vietti Barolo Lazzarito 2000,Barolo,Italy,38,4.9,4.5745893,None,3.7303612,1.5924624,4.3849287,Barolo,Very full-bodied
Cliff Lede Songbook Cabernet Sauvignon 2013,Napa Valley,United States,37,4.9,3.168557,None,4.737231,1.8985407,3.316501,Cabernet Sauvignon,Very full-bodied
Henri Jayer Vosne-Romanée Cros Parantoux 1990,Vosne-Romanée 1er Cru 'Au Cros Parantoux',France,35,4.9,4.32337,None,3.0801764,1.5544274,2.675749,Côte de Nuits Red,Medium-bodied
Amizetta Estate Reserve 2016,St. Helena,United States,35,4.9,3.5630515,None,4.9878674,1.3731985,3.2986028,Red Blend,Full-bodied
