title,region,country,score,num_reviews
Château Lafite Rothschild Count De Lafite Bordeaux,Bordeaux,France,4.6,14
Masseto Toscana,Toscana,Italy,4.7,12022
Château Mouton Rothschild Aile d'Argent Blanc Bordeaux,Bordeaux,France,4.2,3382
G.G. Ochsner Chateau Margaux Bordeaux,Médoc,France,0.0,0
Leroy Clos de la Roche Grand Cru,Clos de la Roche Grand Cru,France,4.7,205
Vega Sicilia Unico,Ribera del Duero,Spain,4.7,33882
Château Lafite Rothschild Count De Lafite Bordeaux,Bordeaux,France,4.6,14
Les Grands Chais de France Château Londre Bordeaux,Bordeaux,France,2.6,19
Antinori Tenuta Tignanello 'Solaia',Toscana,Italy,4.6,24843
Dal Forno Romano Amarone della Valpolicella Monte Lodoletta,Amarone della Valpolicella,Italy,4.7,5848
Dal Forno Romano Amarone della Valpolicella Monte Lodoletta,Amarone della Valpolicella,Italy,4.7,5848
Antinori Tenuta Tignanello 'Solaia',Toscana,Italy,4.6,24843
Leroy Corton-Renardes Grand Cru,Corton Grand Cru 'Les Renardes',France,4.6,139
Converso Monasterio Santa Maria de Valbuena Ribera del Duero,Ribera del Duero,Spain,4.2,171
House Of Mandela The Phumla Pinotage,Western Cape,South Africa,3.2,58
Antinori Tenuta Tignanello 'Solaia',Toscana,Italy,4.6,24843
Antinori Tenuta Tignanello 'Solaia',Toscana,Italy,4.6,24843
Antinori Tenuta Tignanello 'Solaia',Toscana,Italy,4.6,24843
Antinori Tenuta Guado al Tasso Matarocchio,Maremma Toscana,Italy,4.6,1188
Dal Forno Romano Amarone della Valpolicella Monte Lodoletta,Amarone della Valpolicella,Italy,4.7,5848
G.G. Ochsner Chateau Margaux Bordeaux,Médoc,France,0.0,0
Château Lafite Rothschild Count De Lafite Bordeaux,Bordeaux,France,4.6,14
Penfolds Grange,South Australia,Australia,4.6,18884
Château Larrivet Haut-Brion Le Bordeaux,Bordeaux,France,3.6,972
Antinori Tignanello,Toscana,Italy,4.5,102429
Château Larrivet Haut-Brion Le Bordeaux,Bordeaux,France,3.6,972
Leroy Vosne-Romanée 1er Cru 'Les Beaux Monts',Vosne-Romanée 1er Cru 'Les Beaux Monts',France,4.6,442
Château Canon Montségur Bordeaux,Bordeaux,France,3.3,77
A. de Luze Château Latour Bordeaux,Bordeaux,France,4.4,18
A. de Luze Château Latour Bordeaux,Bordeaux,France,4.4,18
Flouch Château Pichon-Longueville Baron Pomerol,Pomerol,France,4.4,31
Château Larrivet Haut-Brion Le Bordeaux,Bordeaux,France,3.6,972
Col d'Orcia Poggio Al Vento Brunello di Montalcino Riserva,Brunello di Montalcino,Italy,4.4,3366
A. de Luze Château Latour Bordeaux,Bordeaux,France,4.4,18
Château de Beaucastel Hommage à Jacques Perrin Châteauneuf-du-Pape,Châteauneuf-du-Pape,France,4.5,4646
Vega Sicilia Unico Reserva Especial Edición,Ribera del Duero,Spain,4.7,10866
Alión Ribera del Duero,Ribera del Duero,Spain,4.4,49877
Masseto Toscana,Toscana,Italy,4.7,12022
Luce della Vite Lux Vitis,Toscana,Italy,4.4,179
